pair,listener,crit_half,crit_order_bin,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
18,36,firsthalf,1,Two Contrasts Shared,0.6666666666666666,0.6666666666666666,6,0,0
18,36,firsthalf,1,Two Contrasts Privileged,0.5,1,2,0,0
18,36,firsthalf,1,One Contrast,1,0,2,0,0
18,36,firsthalf,2,Two Contrasts Shared,0.8333333333333334,0.16666666666666666,6,0,0
18,36,firsthalf,2,Two Contrasts Privileged,1,0.6666666666666666,3,0,0
18,36,firsthalf,2,One Contrast,1,0,3,0,0
18,36,secondhalf,3,Two Contrasts Shared,1,0.5,6,0,0
18,36,secondhalf,3,Two Contrasts Privileged,1,0,3,0,0
18,36,secondhalf,3,One Contrast,1,0,3,0,0
18,36,secondhalf,4,Two Contrasts Shared,0.8571428571428571,0.42857142857142855,7,0,0
18,36,secondhalf,4,Two Contrasts Privileged,1,0.25,4,0,0
18,36,secondhalf,4,One Contrast,1,0.3333333333333333,3,0,0
19,37,firsthalf,1,Two Contrasts Shared,0.75,0.25,4,0,0
19,37,firsthalf,1,Two Contrasts Privileged,0.5,0,2,0,0
19,37,firsthalf,1,One Contrast,1,0,2,0,0
19,37,firsthalf,2,Two Contrasts Shared,0.8,0.4,5,0,0
19,37,firsthalf,2,Two Contrasts Privileged,1,1,2,0,0
19,37,firsthalf,2,One Contrast,1,0.3333333333333333,3,0,0
19,37,secondhalf,3,Two Contrasts Shared,0.8,0.4,5,0,0
19,37,secondhalf,3,Two Contrasts Privileged,0.6666666666666666,0.3333333333333333,3,0,0
19,37,secondhalf,3,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
19,37,secondhalf,4,Two Contrasts Shared,1,0.3333333333333333,6,0,0
19,37,secondhalf,4,Two Contrasts Privileged,1,0,3,0,0
19,37,secondhalf,4,One Contrast,1,0.5,4,0,0
19,38,firsthalf,1,Two Contrasts Shared,0.8,0.6,5,0,0
19,38,firsthalf,1,Two Contrasts Privileged,0.5,0.5,2,0,0
19,38,firsthalf,1,One Contrast,1,0,1,0,0
19,38,firsthalf,2,Two Contrasts Shared,0.6666666666666666,0.6666666666666666,6,0,0
19,38,firsthalf,2,Two Contrasts Privileged,0.5,0.5,2,0,0
19,38,firsthalf,2,One Contrast,0.5,0.5,2,0,0
19,38,secondhalf,3,Two Contrasts Shared,0.6666666666666666,0.5,6,0,0
19,38,secondhalf,3,Two Contrasts Privileged,1,0,2,0,0
19,38,secondhalf,3,One Contrast,1,0.5,2,0,0
19,38,secondhalf,4,Two Contrasts Shared,0.8571428571428571,0.42857142857142855,7,0,0
19,38,secondhalf,4,Two Contrasts Privileged,1,0.6666666666666666,3,0,0
19,38,secondhalf,4,One Contrast,0.6666666666666666,0.6666666666666666,3,0,0
20,39,firsthalf,1,Two Contrasts Shared,0.6666666666666666,0.3333333333333333,6,0,0
20,39,firsthalf,1,Two Contrasts Privileged,1,0.6666666666666666,3,0,0
20,39,firsthalf,1,One Contrast,0.6666666666666666,0.3333333333333333,3,0,0
20,39,firsthalf,2,Two Contrasts Shared,0.7142857142857143,0.7142857142857143,7,0,0
20,39,firsthalf,2,Two Contrasts Privileged,0.5,1,4,0,0
20,39,firsthalf,2,One Contrast,0.75,0.25,4,0,0
20,39,secondhalf,3,Two Contrasts Shared,0.7142857142857143,0.42857142857142855,7,0,0
20,39,secondhalf,3,Two Contrasts Privileged,0.75,0.5,4,0,0
20,39,secondhalf,3,One Contrast,0.5,0.5,4,0,0
20,39,secondhalf,4,Two Contrasts Shared,0.7142857142857143,0.5714285714285714,7,0,0
20,39,secondhalf,4,Two Contrasts Privileged,0.8,0.4,5,0,0
20,39,secondhalf,4,One Contrast,0.75,0.5,4,0,0
20,40,firsthalf,1,Two Contrasts Shared,0.5714285714285714,0.5714285714285714,7,0,0
20,40,firsthalf,1,Two Contrasts Privileged,1,0.5,2,0,0
20,40,firsthalf,1,One Contrast,1,0.3333333333333333,3,0,0
20,40,firsthalf,2,Two Contrasts Shared,0.5714285714285714,0.5714285714285714,7,0,0
20,40,firsthalf,2,Two Contrasts Privileged,0,1,3,0,0
20,40,firsthalf,2,One Contrast,1,0,3,0,0
20,40,secondhalf,3,Two Contrasts Shared,0.5714285714285714,0.42857142857142855,7,0,0
20,40,secondhalf,3,Two Contrasts Privileged,0.6666666666666666,1,3,0,0
20,40,secondhalf,3,One Contrast,1,0.25,4,0,0
20,40,secondhalf,4,Two Contrasts Shared,1,0.5,8,0,0
20,40,secondhalf,4,Two Contrasts Privileged,1,0,4,0,0
20,40,secondhalf,4,One Contrast,0.75,0.25,4,0,0
21,41,firsthalf,1,Two Contrasts Shared,0.8571428571428571,0.5714285714285714,7,0,0
21,41,firsthalf,1,Two Contrasts Privileged,1,0.3333333333333333,3,0,0
21,41,firsthalf,1,One Contrast,1,0.6666666666666666,3,0,0
