pair,listener,crit_half,condition,prop_target_fix,prop_compet_fix,num_trials,numtNA,numcNA
30,60,secondhalf,One Contrast,0.875,0.75,8,0,0
31,61,firsthalf,Two Contrasts Shared,0.5333333333333333,0.6,15,0,0
31,61,firsthalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
31,61,firsthalf,One Contrast,0.7142857142857143,0.2857142857142857,7,0,0
31,61,secondhalf,Two Contrasts Shared,0.8235294117647058,0.29411764705882354,17,0,0
31,61,secondhalf,Two Contrasts Privileged,0.6666666666666666,0.4444444444444444,9,0,0
31,61,secondhalf,One Contrast,0.625,0.375,8,0,0
31,62,firsthalf,Two Contrasts Shared,0.7857142857142857,0.5,14,0,0
31,62,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.5,6,0,0
31,62,firsthalf,One Contrast,0.8571428571428571,0.7142857142857143,7,0,0
31,62,secondhalf,Two Contrasts Shared,0.875,0.625,16,0,0
31,62,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
31,62,secondhalf,One Contrast,0.875,0.625,8,0,0
32,63,firsthalf,Two Contrasts Shared,0.9285714285714286,0.2857142857142857,14,0,0
32,63,firsthalf,Two Contrasts Privileged,0.8,0.4,5,0,0
32,63,firsthalf,One Contrast,1,0.14285714285714285,7,0,0
32,63,secondhalf,Two Contrasts Shared,0.75,0.6875,16,0,0
32,63,secondhalf,Two Contrasts Privileged,0.7142857142857143,0.5714285714285714,7,0,0
32,63,secondhalf,One Contrast,1,0.3333333333333333,9,0,0
32,64,firsthalf,Two Contrasts Shared,0.5454545454545454,0.5454545454545454,11,0,0
32,64,firsthalf,Two Contrasts Privileged,0.6,0.4,5,0,0
32,64,firsthalf,One Contrast,0.6,0,5,0,0
32,64,secondhalf,Two Contrasts Shared,0.75,0.5833333333333334,12,0,0
32,64,secondhalf,Two Contrasts Privileged,0.6666666666666666,0.5,6,0,0
32,64,secondhalf,One Contrast,0.7142857142857143,0.42857142857142855,7,0,0
33,65,firsthalf,Two Contrasts Shared,0.6923076923076923,0.6153846153846154,13,0,0
33,65,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.3333333333333333,6,0,0
33,65,firsthalf,One Contrast,0.8333333333333334,0.5,6,0,0
33,65,secondhalf,Two Contrasts Shared,0.8,0.3333333333333333,15,0,0
33,65,secondhalf,Two Contrasts Privileged,0.875,0.5,8,0,0
33,65,secondhalf,One Contrast,0.75,0.25,8,0,0
33,66,firsthalf,Two Contrasts Shared,0.8461538461538461,0.38461538461538464,13,0,0
33,66,firsthalf,Two Contrasts Privileged,0.8333333333333334,0.5,6,0,0
33,66,firsthalf,One Contrast,0.5,0.5,6,0,0
33,66,secondhalf,Two Contrasts Shared,0.8,0.4666666666666667,15,0,0
